chamber,flux,datetime_start,datetime_end,sum_bubbles_ppm,n_bubbles,flux_duration_hr,air_temp,sur_wat_temp,range,bubbles_per_hr,ppm_per_hr,umol_m2_hr,mmol_m2_hr,pond,date,time,time24
1,1,7/4/24 0:00,7/4/24 0:10,0,0,0.157222222,15.835,15.2415,NA,0,0,0,0,B,7/4/24,0:00:19,0
1,2,7/4/24 0:21,7/4/24 0:35,0,0,0.223333333,14.86785714,15.11892857,NA,0,0,0,0,B,7/4/24,0:21:04,0.35
1,3,7/4/24 0:46,7/4/24 1:01,0,0,0.223333333,15.425,15.03214286,NA,0,0,0,0,B,7/4/24,0:46:12,0.766666667
1,4,7/4/24 1:11,7/4/24 1:26,0,0,0.223333333,15.31071429,14.93357143,NA,0,0,0,0,B,7/4/24,1:11:20,1.183333333
1,5,7/4/24 1:36,7/4/24 1:51,0,0,0.223333333,15.00714286,14.81321429,NA,0,0,0,0,B,7/4/24,1:36:27,1.6
1,6,7/4/24 2:01,7/4/24 2:16,0,0,0.223333333,14.33928571,14.70964286,NA,0,0,0,0,B,7/4/24,2:01:35,2.016666667
1,7,7/4/24 2:26,7/4/24 2:41,0,0,0.223611111,14.29285714,14.64214286,NA,0,0,0,0,B,7/4/24,2:26:43,2.433333333
1,8,7/4/24 2:51,7/4/24 3:06,0,0,0.223333333,14.28214286,14.53392857,NA,0,0,0,0,B,7/4/24,2:51:50,2.85
1,9,7/4/24 3:16,7/4/24 3:31,0,0,0.223333333,14.88928571,14.44928571,NA,0,0,0,0,B,7/4/24,3:16:58,3.266666667
1,10,7/4/24 3:42,7/4/24 3:56,0,0,0.223333333,14.45714286,14.34928571,NA,0,0,0,0,B,7/4/24,3:42:06,3.7
1,11,7/4/24 4:07,7/4/24 4:22,0,0,0.223333333,14.91428571,14.24642857,NA,0,0,0,0,B,7/4/24,4:07:13,4.116666667
1,12,7/4/24 4:32,7/4/24 4:47,0,0,0.223611111,14.90357143,14.14214286,NA,0,0,0,0,B,7/4/24,4:32:21,4.533333333
1,13,7/4/24 4:57,7/4/24 5:12,0,0,0.223333333,14.57857143,14.07,NA,0,0,0,0,B,7/4/24,4:57:28,4.95
1,14,7/4/24 5:22,7/4/24 5:37,0,0,0.223333333,14.59642857,13.9675,NA,0,0,0,0,B,7/4/24,5:22:36,5.366666667
1,15,7/4/24 5:47,7/4/24 6:02,0,0,0.223611111,14.91428571,13.88821429,NA,0,0,0,0,B,7/4/24,5:47:44,5.783333333
1,16,7/4/24 6:12,7/4/24 6:27,0,0,0.223333333,14.975,13.81142857,NA,0,0,0,0,B,7/4/24,6:12:52,6.2
1,17,7/4/24 6:37,7/4/24 6:52,0,0,0.223333333,14.90357143,13.7025,NA,0,0,0,0,B,7/4/24,6:37:59,6.616666667
1,18,7/4/24 7:03,7/4/24 7:17,0,0,0.223333333,14.77142857,13.65,NA,0,0,0,0,B,7/4/24,7:03:07,7.05
