   2018      7     12   12.00       264.00   0.13922E+02   0.00000E+00   0.13922E+02   0.13339E+02   0.13926E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.35183E+01   0.10709E+02  -0.37472E+02  -0.22961E+02   0.16909E-02   0.85147E-19   0.18336E-03       0.16     135.44     0.0000  0.00   0.86483E-02   0.73721E+00    13.8946    13.2276    12.9045    12.6426    12.6797
   2018      7     13   12.00       288.00   0.14325E+02   0.00000E+00   0.14325E+02   0.13800E+02   0.14354E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.73785E+01   0.25858E+02  -0.65688E+02  -0.31619E+02   0.34348E-02   0.33080E-07   0.98781E-03       0.16     152.72     0.0000  0.00   0.11295E+00  -0.27812E+01    14.3439    13.5934    13.3402    13.3376    13.3775
   2018      7     14   12.00       312.00   0.13949E+02   0.00000E+00   0.13949E+02   0.13996E+02   0.14079E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.17744E+02   0.44690E+02  -0.11484E+03  -0.43094E+02   0.53188E-02   0.32479E-04   0.49980E-02       0.16     173.46     0.0000  0.00   0.27698E+00  -0.66268E+01    14.0372    14.0106    13.9335    13.9323    13.9661
   2018      7     15   12.00       336.00   0.13736E+02   0.00000E+00   0.13736E+02   0.13879E+02   0.13933E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.24427E+02   0.58033E+02  -0.15323E+03  -0.58260E+02   0.43889E-02   0.34388E-04   0.30471E-02       0.16     189.79     0.0000  0.00   0.19881E+00   0.78249E+00    13.8586    13.8899    13.8953    13.9007    13.9310
   2018      7     16   12.00       360.00   0.13169E+02   0.00000E+00   0.13169E+02   0.13384E+02   0.13442E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.34201E+02   0.85440E+02  -0.18357E+03  -0.60836E+02   0.66612E-02   0.13238E-03   0.14677E-01       0.16     174.10     0.0000  0.00  -0.19933E+00   0.12838E+02    13.3577    13.3984    13.4060    13.4120    13.4360
   2018      7     17   12.00       384.00   0.12462E+02   0.00000E+00   0.12462E+02   0.12673E+02   0.12737E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.38887E+02   0.76035E+02  -0.15895E+03  -0.53228E+02   0.11415E-01   0.53036E-03   0.10841E+00       0.16     142.60     0.0000  0.00  -0.11767E+01   0.30820E+02    12.6495    12.6861    12.6951    12.7014    12.7212
   2018      7     18   12.00       408.00   0.11956E+02   0.00000E+00   0.11956E+02   0.12138E+02   0.12193E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.41957E+02   0.74448E+02  -0.15073E+03  -0.56665E+02   0.11835E-01   0.75426E-03   0.13100E+00       0.16     146.61     0.0000  0.00  -0.28468E+00   0.45337E+02    12.1184    12.1476    12.1559    12.1616    12.1796
   2018      7     19   12.00       432.00   0.11561E+02   0.00000E+00   0.11561E+02   0.11728E+02   0.11786E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.41056E+02   0.64486E+02  -0.14341E+03  -0.62227E+02   0.86436E-02   0.35393E-03   0.48852E-01       0.16     160.06     0.0000  0.00  -0.39689E-02   0.25776E+02    11.7075    11.7375    11.7476    11.7536    11.7791
   2018      7     20   12.00       456.00   0.11520E+02   0.00000E+00   0.11520E+02   0.11624E+02   0.11680E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.25017E+02   0.38267E+02  -0.10645E+03  -0.51853E+02   0.43894E-02   0.42590E-04   0.38300E-02       0.17     140.70     0.0000  0.00  -0.15321E+00   0.55132E+01    11.6056    11.6326    11.6375    11.6418    11.6799
   2018      7     21   12.00       480.00   0.11620E+02   0.00000E+00   0.11620E+02   0.11695E+02   0.11748E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.16652E+02   0.29908E+02  -0.87790E+02  -0.46228E+02   0.31727E-02   0.24246E-04   0.18399E-02       0.17     131.72     0.0000  0.00   0.61262E-01  -0.27035E+01    11.6825    11.6998    11.7036    11.7074    11.7475
   2018      7     22   12.00       504.00   0.11819E+02   0.00000E+00   0.11819E+02   0.11885E+02   0.11934E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.20642E+02   0.29543E+02  -0.82423E+02  -0.49347E+02   0.45001E-02   0.10212E-03   0.13626E-01       0.17     144.70     0.0000  0.00  -0.33061E-01   0.57849E+01    11.8748    11.8888    11.8925    11.8966    11.9329
   2018      7     23   12.00       528.00   0.11848E+02   0.00000E+00   0.11848E+02   0.11984E+02   0.12029E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.36414E+02   0.49850E+02  -0.11487E+03  -0.53214E+02   0.10441E-01   0.62513E-03   0.79172E-01       0.17     149.34     0.0000  0.00  -0.47003E-01   0.37397E+02    11.9738    11.9904    11.9952    12.0001    12.0177
   2018      7     24   12.00       552.00   0.11951E+02   0.00000E+00   0.11951E+02   0.12029E+02   0.12081E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.20487E+02   0.31686E+02  -0.93389E+02  -0.52592E+02   0.40547E-02   0.89045E-04   0.75189E-02       0.17     151.95     0.0000  0.00   0.77623E-01   0.66532E+01    12.0173    12.0334    12.0373    12.0418    12.0799
   2018      7     25   12.00       576.00   0.12059E+02   0.00000E+00   0.12059E+02   0.12172E+02   0.12229E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.27536E+02   0.36224E+02  -0.11018E+03  -0.53661E+02   0.45988E-02   0.30565E-04   0.28369E-02       0.17     152.55     0.0000  0.00   0.16396E+00  -0.58069E+01    12.1532    12.1811    12.1859    12.1907    12.2283
   2018      7     26   12.00       600.00   0.12221E+02   0.00000E+00   0.12221E+02   0.12299E+02   0.12349E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.28543E+02   0.26498E+02  -0.88725E+02  -0.50917E+02   0.51856E-02   0.34607E-04   0.41616E-02       0.17     149.79     0.0000  0.00   0.30160E+00  -0.46227E+01    12.2852    12.3052    12.3095    12.3137    12.3483
   2018      7     27   12.00       624.00   0.12689E+02   0.00000E+00   0.12689E+02   0.12712E+02   0.12758E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.23907E+02   0.13500E+02  -0.56079E+02  -0.45527E+02   0.46229E-02   0.20957E-04   0.26165E-02       0.17     147.82     0.0000  0.00   0.28376E+00  -0.23807E+00    12.7077    12.7121    12.7144    12.7177    12.7580
   2018      7     28   12.00       648.00   0.13405E+02   0.00000E+00   0.13405E+02   0.13406E+02   0.13452E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.21288E+02   0.11877E+02  -0.47985E+02  -0.44744E+02   0.35026E-02   0.90886E-05   0.10464E-02       0.17     157.37     0.0000  0.00   0.11420E+00   0.31039E+01    13.4082    13.4036    13.4046    13.4080    13.4521
   2018      7     29   12.00       672.00   0.14163E+02   0.00000E+00   0.14163E+02   0.14147E+02   0.14202E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.21255E+02   0.15942E+02  -0.56018E+02  -0.44424E+02   0.22915E-02   0.63484E-05   0.62928E-03       0.17     162.36     0.0000  0.00  -0.32130E-01  -0.76595E+00    14.1687    14.1356    14.1370    14.1405    14.1840
   2018      7     30   12.00       696.00   0.14417E+02   0.00000E+00   0.14417E+02   0.14509E+02   0.14551E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.40550E+02   0.33660E+02  -0.94910E+02  -0.44502E+02   0.48745E-02   0.43562E-04   0.40769E-02       0.17     152.61     0.0000  0.00  -0.94537E-01  -0.82704E+01    14.4959    14.5158    14.5199    14.5236    14.5501
   2018      7     31   12.00       720.00   0.14544E+02   0.00000E+00   0.14544E+02   0.14632E+02   0.14680E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.40160E+02   0.34983E+02  -0.99033E+02  -0.46004E+02   0.43976E-02   0.28245E-04   0.29880E-02       0.17     151.60     0.0000  0.00   0.20707E+00  -0.19157E+01    14.6170    14.6385    14.6423    14.6463    14.6789
   2018      8      1   12.00       744.00   0.14423E+02   0.00000E+00   0.14423E+02   0.14560E+02   0.14605E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.52195E+02   0.49639E+02  -0.12655E+03  -0.50390E+02   0.58553E-02   0.89526E-04   0.91056E-02       0.17     152.37     0.0000  0.00   0.14311E+00   0.96840E+01    14.5423    14.5698    14.5753    14.5800    14.6019
   2018      8      2   12.00       768.00   0.14266E+02   0.00000E+00   0.14266E+02   0.14379E+02   0.14425E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.34498E+02   0.44126E+02  -0.11089E+03  -0.44241E+02   0.45718E-02   0.85423E-04   0.99762E-02       0.18     132.76     0.0000  0.00   0.84996E-01  -0.90260E+00    14.3642    14.3862    14.3909    14.3951    14.4219
   2018      8      3   12.00       792.00   0.13612E+02   0.00000E+00   0.13612E+02   0.13811E+02   0.13860E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.28571E+02   0.75545E+02  -0.14190E+03  -0.39128E+02   0.90439E-02   0.39880E-03   0.45255E-01       0.18      99.26     0.0000  0.00  -0.55250E-01  -0.26078E+02    13.7920    13.8218    13.8288    13.8341    13.8480
   2018      8      4   12.00       816.00   0.13106E+02   0.00000E+00   0.13106E+02   0.13208E+02   0.13249E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.31560E+01   0.42706E+02  -0.91042E+02  -0.34496E+02   0.52986E-02   0.14915E-03   0.16610E-01       0.18      88.26     0.0000  0.00  -0.10183E+00   0.91712E+00    13.1946    13.2149    13.2193    13.2230    13.2464
   2018      8      5   12.00       840.00   0.12792E+02   0.00000E+00   0.12792E+02   0.12911E+02   0.12958E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.18835E+01   0.53190E+02  -0.10752E+03  -0.40048E+02   0.53134E-02   0.13102E-03   0.13491E-01       0.18     100.74     0.0000  0.00  -0.39561E-01   0.66481E+01    12.8931    12.9190    12.9243    12.9285    12.9546
   2018      8      6   12.00       864.00   0.12317E+02   0.00000E+00   0.12317E+02   0.12446E+02   0.12499E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.32589E+01   0.54052E+02  -0.11866E+03  -0.46706E+02   0.42916E-02   0.56854E-04   0.44786E-02       0.18     111.51     0.0000  0.00  -0.12212E+00  -0.50907E+01    12.4267    12.4551    12.4605    12.4649    12.4973
   2018      8      7   12.00       888.00   0.12023E+02   0.00000E+00   0.12023E+02   0.12146E+02   0.12200E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.39384E+01   0.39154E+02  -0.11142E+03  -0.46915E+02   0.39157E-02   0.22171E-04   0.15533E-02       0.18     113.05     0.0000  0.00   0.12732E+00  -0.36984E+01    12.1248    12.1558    12.1610    12.1657    12.1992
   2018      8      8   12.00       912.00   0.11800E+02   0.00000E+00   0.11800E+02   0.11911E+02   0.11967E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.40886E+01   0.33825E+02  -0.97417E+02  -0.44807E+02   0.40693E-02   0.26643E-04   0.19473E-02       0.18     109.32     0.0000  0.00  -0.68790E-01  -0.56902E+01    11.8915    11.9203    11.9251    11.9294    11.9665
   2018      8      9   12.00       936.00   0.11804E+02   0.00000E+00   0.11804E+02   0.11877E+02   0.11926E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.24947E+01   0.24471E+02  -0.68548E+02  -0.39350E+02   0.41078E-02   0.23706E-04   0.20219E-02       0.18     102.69     0.0000  0.00  -0.12492E+00  -0.53401E+01    11.8640    11.8835    11.8872    11.8907    11.9264
   2018      8     10   12.00       960.00   0.12030E+02   0.00000E+00   0.12030E+02   0.12068E+02   0.12106E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.18439E+01   0.23842E+02  -0.47534E+02  -0.32133E+02   0.48914E-02   0.43501E-04   0.42422E-02       0.18      92.37     0.0000  0.00  -0.18590E+00  -0.74543E+01    12.0613    12.0706    12.0739    12.0765    12.1057
   2018      8     11   12.00       984.00   0.12190E+02   0.00000E+00   0.12190E+02   0.12245E+02   0.12279E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.40860E+01   0.34555E+02  -0.57425E+02  -0.31121E+02   0.59084E-02   0.96809E-04   0.86452E-02       0.18      91.17     0.0000  0.00  -0.15394E+00  -0.11884E+02    12.2373    12.2479    12.2518    12.2551    12.2791
   2018      8     12   12.00      1008.00   0.12137E+02   0.00000E+00   0.12137E+02   0.12222E+02   0.12260E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.74643E+01   0.54361E+02  -0.82417E+02  -0.37047E+02   0.67557E-02   0.17220E-03   0.14294E-01       0.18     100.96     0.0000  0.00  -0.21264E-01  -0.16031E+02    12.2100    12.2266    12.2316    12.2360    12.2582
   2018      8     13   12.00      1032.00   0.12078E+02   0.00000E+00   0.12078E+02   0.12158E+02   0.12199E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.62594E+01   0.52001E+02  -0.78621E+02  -0.40839E+02   0.66017E-02   0.13108E-03   0.12109E-01       0.19     111.20     0.0000  0.00   0.26856E+00  -0.12259E+02    12.1463    12.1620    12.1672    12.1709    12.1981
   2018      8     14   12.00      1056.00   0.12182E+02   0.00000E+00   0.12182E+02   0.12255E+02   0.12298E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.16158E+01   0.44623E+02  -0.75676E+02  -0.39096E+02   0.57306E-02   0.83704E-04   0.75486E-02       0.19     109.76     0.0000  0.00   0.13447E+00  -0.95087E+01    12.2430    12.2599    12.2646    12.2677    12.2972
   2018      8     15   12.00      1080.00   0.12213E+02   0.00000E+00   0.12213E+02   0.12281E+02   0.12326E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.61721E+00   0.33769E+02  -0.72273E+02  -0.36017E+02   0.30457E-02   0.31062E-04   0.22110E-02       0.19     102.00     0.0000  0.00  -0.15242E-01  -0.12220E+01    12.2708    12.2862    12.2896    12.2929    12.3258
   2018      8     16   12.00      1104.00   0.12151E+02   0.00000E+00   0.12151E+02   0.12215E+02   0.12258E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.57844E+00   0.31134E+02  -0.64717E+02  -0.33421E+02   0.28525E-02   0.24658E-04   0.16116E-02       0.19      93.16     0.0000  0.00   0.84918E-01   0.35658E+01    12.2043    12.2195    12.2227    12.2258    12.2581
   2018      8     17   12.00      1128.00   0.12475E+02   0.00000E+00   0.12475E+02   0.12479E+02   0.12512E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.85385E+00   0.86370E+01  -0.25136E+02  -0.24689E+02   0.28443E-02   0.67542E-05   0.13816E-02       0.19      82.38     0.0000  0.00   0.13282E+00  -0.13163E+01    12.4788    12.4782    12.4789    12.4812    12.5113
   2018      8     18   12.00      1152.00   0.12974E+02   0.00000E+00   0.12974E+02   0.12951E+02   0.12979E+02   0.00000E+00   0.00000E+00   0.83685E+01  -0.18671E+01   0.31104E+01  -0.16344E+02  -0.27099E+02   0.51325E-02   0.22988E-04   0.43158E-02       0.19      99.38     0.0000  0.00   0.30973E+00  -0.45804E+01    12.9583    12.9468    12.9455    12.9473    12.9763
   2018      8     19   12.00      1176.00   0.13558E+02   0.00000E+00   0.13558E+02   0.13564E+02   0.13602E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.19632E+01   0.12965E+02  -0.40540E+02  -0.34534E+02   0.40239E-02   0.12503E-04   0.16761E-02       0.19     124.65     0.0000  0.00   0.12736E+00  -0.44746E+01    13.5650    13.5627    13.5633    13.5661    13.6017
   2018      8     20   12.00      1200.00   0.13950E+02   0.00000E+00   0.13950E+02   0.13990E+02   0.14035E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.74556E+01   0.21404E+02  -0.60781E+02  -0.39175E+02   0.41948E-02   0.18290E-04   0.18931E-02       0.19     135.56     0.0000  0.00   0.16960E+00  -0.38157E+01    13.9823    13.9930    13.9954    13.9986    14.0345
   2018      8     21   12.00      1224.00   0.14285E+02   0.00000E+00   0.14285E+02   0.14335E+02   0.14375E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.10399E+02   0.21845E+02  -0.64341E+02  -0.32705E+02   0.36192E-02   0.22839E-04   0.20375E-02       0.19     117.11     0.0000  0.00   0.63400E-01   0.30495E+01    14.3264    14.3392    14.3418    14.3445    14.3749
   2018      8     22   12.00      1248.00   0.14003E+02   0.00000E+00   0.14003E+02   0.14123E+02   0.14158E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.23263E+02   0.44278E+02  -0.94147E+02  -0.26208E+02   0.81041E-02   0.27147E-03   0.29765E-01       0.19      81.33     0.0000  0.00  -0.33684E+00   0.20506E+02    14.1098    14.1304    14.1356    14.1393    14.1525
   2018      8     23   12.00      1272.00   0.13448E+02   0.00000E+00   0.13448E+02   0.13586E+02   0.13619E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.25774E+02   0.41761E+02  -0.88833E+02  -0.22669E+02   0.90615E-02   0.33971E-03   0.42334E-01       0.20      60.06     0.0000  0.00  -0.62166E+00   0.22287E+02    13.5726    13.5940    13.5988    13.6022    13.6126
   2018      8     24   12.00      1296.00   0.13155E+02   0.00000E+00   0.13155E+02   0.13214E+02   0.13249E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.12835E+02   0.22717E+02  -0.56427E+02  -0.25439E+02   0.40875E-02   0.48585E-04   0.46194E-02       0.20      70.88     0.0000  0.00   0.27791E-02   0.30640E+01    13.2041    13.2187    13.2218    13.2244    13.2484
   2018      8     25   12.00      1320.00   0.13111E+02   0.00000E+00   0.13111E+02   0.13194E+02   0.13238E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.17223E+02   0.32927E+02  -0.80430E+02  -0.39265E+02   0.55219E-02   0.65881E-04   0.64676E-02       0.20     109.60     0.0000  0.00   0.18754E+00  -0.80266E+01    13.1806    13.2006    13.2052    13.2083    13.2377
   2018      8     26   12.00      1344.00   0.12952E+02   0.00000E+00   0.12952E+02   0.13084E+02   0.13131E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.23531E+02   0.55777E+02  -0.11533E+03  -0.45299E+02   0.67491E-02   0.16440E-03   0.14378E-01       0.20     118.98     0.0000  0.00  -0.35491E-01  -0.15850E+02    13.0667    13.0924    13.0992    13.1034    13.1279
   2018      8     27   12.00      1368.00   0.12755E+02   0.00000E+00   0.12755E+02   0.12829E+02   0.12871E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.14613E+02   0.30795E+02  -0.76250E+02  -0.35683E+02   0.34520E-02   0.46351E-04   0.34571E-02       0.20      94.81     0.0000  0.00   0.12848E-01  -0.41530E+00    12.8181    12.8346    12.8384    12.8418    12.8707
   2018      8     28   12.00      1392.00   0.12507E+02   0.00000E+00   0.12507E+02   0.12604E+02   0.12640E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.23781E+02   0.32391E+02  -0.78053E+02  -0.26468E+02   0.70131E-02   0.17259E-03   0.16090E-01       0.20      65.31     0.0000  0.00  -0.21157E+00   0.15835E+02    12.5906    12.6108    12.6162    12.6201    12.6370
   2018      8     29   12.00      1416.00   0.12217E+02   0.00000E+00   0.12217E+02   0.12302E+02   0.12340E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.17756E+02   0.27743E+02  -0.68995E+02  -0.29309E+02   0.56158E-02   0.81511E-04   0.72072E-02       0.20      72.32     0.0000  0.00  -0.65975E-01   0.10623E+02    12.2891    12.3082    12.3133    12.3163    12.3398
   2018      8     30   12.00      1440.00   0.12233E+02   0.00000E+00   0.12233E+02   0.12293E+02   0.12342E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.10974E+02   0.20974E+02  -0.68413E+02  -0.40654E+02   0.34000E-02   0.20061E-04   0.13257E-02       0.20     109.40     0.0000  0.00   0.11196E+00   0.69937E+00    12.2822    12.2980    12.3012    12.3047    12.3417
   2018      8     31   12.00      1464.00   0.12277E+02   0.00000E+00   0.12277E+02   0.12380E+02   0.12427E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.17102E+02   0.31150E+02  -0.92087E+02  -0.44797E+02   0.45984E-02   0.35223E-04   0.32021E-02       0.20     120.00     0.0000  0.00   0.38137E-02  -0.72246E+01    12.3623    12.3877    12.3924    12.3966    12.4266
   2018      9      1   12.00      1488.00   0.12157E+02   0.00000E+00   0.12157E+02   0.12255E+02   0.12301E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.17944E+02   0.30154E+02  -0.87208E+02  -0.35849E+02   0.37747E-02   0.22123E-04   0.15003E-02       0.21      92.61     0.0000  0.00   0.34919E-01  -0.41753E+01    12.2370    12.2631    12.2673    12.2710    12.3009
   2018      9      2   12.00      1512.00   0.11939E+02   0.00000E+00   0.11939E+02   0.12006E+02   0.12047E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.14633E+02   0.21692E+02  -0.69916E+02  -0.30082E+02   0.25957E-02   0.12166E-04   0.55297E-03       0.21      74.93     0.0000  0.00   0.45962E-01   0.60510E+00    11.9943    12.0108    12.0140    12.0171    12.0468
   2018      9      3   12.00      1536.00   0.11651E+02   0.00000E+00   0.11651E+02   0.11765E+02   0.11814E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.21812E+02   0.34102E+02  -0.89806E+02  -0.35556E+02   0.46223E-02   0.37583E-04   0.31016E-02       0.21      84.75     0.0000  0.00  -0.73340E-01   0.72031E+01    11.7458    11.7744    11.7794    11.7830    11.8138
   2018      9      4   12.00      1560.00   0.11451E+02   0.00000E+00   0.11451E+02   0.11545E+02   0.11594E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.16436E+02   0.27607E+02  -0.78901E+02  -0.36161E+02   0.40710E-02   0.23366E-04   0.19657E-02       0.21      87.40     0.0000  0.00   0.13733E+00   0.39167E+01    11.5276    11.5535    11.5578    11.5614    11.5943
   2018      9      5   12.00      1584.00   0.11227E+02   0.00000E+00   0.11227E+02   0.11327E+02   0.11370E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.19012E+02   0.27932E+02  -0.76840E+02  -0.30315E+02   0.58983E-02   0.70313E-04   0.77729E-02       0.21      68.98     0.0000  0.00   0.37508E+00  -0.57595E+01    11.3101    11.3349    11.3402    11.3436    11.3692
   2018      9      6   12.00      1608.00   0.10904E+02   0.00000E+00   0.10904E+02   0.11006E+02   0.11044E+02   0.00000E+00   0.00000E+00   0.83685E+01   0.18610E+02   0.29994E+02  -0.75840E+02  -0.30183E+02   0.68483E-02   0.16367E-03   0.15366E-01       0.21      65.39     0.0000  0.00   0.52796E-01  -0.15701E+02    10.9929    11.0126    11.0182    11.0227    11.0425
